frame,u,v
127,672.5895819653443,647.5667681165795
128,643.3124084472656,783.1518859863281
129,691.9342346191406,637.9844970703125
130,704.0361328125,630.4878845214844
131,714.3731689453125,626.3652648925781
132,725.9461669921875,621.065185546875
133,735.1707763671875,616.5680847167969
134,742.87646484375,614.11669921875
135,748.2227783203125,610.8773803710938
136,751.3873291015625,603.02880859375
137,758.7161328125,598.8081902465821
138,765.971648486328,595.0297780828857
139,760.6504821777344,580.7597351074219
140,763.4057006835938,576.9036865234375
141,767.9213256835938,570.6050720214844
142,772.63916015625,562.7303466796875
143,775.1675720214844,554.7630615234375
144,777.5393371582031,545.851318359375
145,778.6953735351562,541.7191467285156
146,777.586669921875,535.5719604492188
147,774.5337524414062,530.8342590332031
148,769.4886474609375,522.5762939453125
149,764.72607421875,518.7842102050781
150,806.8837280273438,412.87660217285156
151,790.6122436523438,433.7545166015625
152,775.4152221679688,455.7307434082031
153,751.9814758300781,495.4083557128906
154,748.515055847168,490.4291039428711
155,745.083300064087,485.8996446905518
156,740.8778991699219,484.44012451171875
157,737.9340515136719,479.1659240722656
158,725.6478543656311,494.5739345907727
159,727.7444458007812,470.95770263671875
160,697.9776306152344,474.3610534667969
161,691.61474609375,472.39109802246094
162,684.9603881835938,471.84832763671875
163,678.2432250976562,471.47052001953125
164,669.170654296875,474.1846618652344
165,661.6572875976562,475.0166015625
166,655.7942504882812,480.1617736816406
167,648.7017923583984,482.1003674621582
168,659.23828125,443.43896484375
169,709.2373352050781,435.5855712890625
170,707.4671630859375,433.22137451171875
171,707.8781127929688,426.9643249511719
172,718.4341428913574,417.4661326135864
173,728.8846126887622,408.4629221993768
174,711.8244323730469,414.98291015625
175,714.4110717773438,410.3531799316406
176,716.5736999511719,403.4339904785156
177,713.8670131915313,401.13125522288277
178,722.5030822753906,388.9541015625
179,724.8878784179688,385.4029541015625
180,728.5892333984375,382.0023193359375
181,732.4445879798736,376.3281039341309
182,736.2613890154954,371.1106306863424
183,740.040022040761,366.34533217103177
184,743.7808687357739,362.02768664087426
185,747.4843069638367,358.1532175660183
186,751.1507108096189,354.7174931819109
187,754.7804506169432,351.7161260416446
188,758.3738930261943,349.14477257278094
189,747.7412719726562,242.14447021484375
190,748.9792129834411,216.20088153063827
191,752.4866943359375,216.02377319335938
192,753.9909162760987,191.4151165700914
193,755.6846313476562,200.16783142089844
