frame,u,v
0,2865.0689697265625,15.555363655090332
1,1384.442138671875,413.56459045410156
2,1358.0911865234375,427.07196044921875
3,1332.4315185546875,443.48695373535156
4,1305.9861450195312,463.67742919921875
5,1274.425048828125,488.53248596191406
6,1247.8958129882812,511.1604461669922
7,1217.8133544921875,542.0714721679688
8,1188.3385009765625,571.5873718261719
9,1161.406494140625,606.4907531738281
10,1128.5650024414062,647.2473754882812
11,1096.319091796875,690.146728515625
12,1067.7584838867188,733.1928100585938
13,1034.6341552734375,784.4836120605469
14,999.4025268554688,840.7711181640625
15,1111.0154418945312,1057.2548828125
16,1107.54062890625,1138.8363692626954
17,1058.44189453125,1056.34228515625
18,1033.2928771972656,1058.9970092773438
19,1003.0425720214844,1062.939208984375
20,971.6119079589844,1062.7424926757812
21,806.2533874511719,943.8625793457031
22,908.1102600097656,1059.3377075195312
23,877.9084167480469,1057.0638427734375
24,838.7599487304688,1056.7318725585938
25,818.9331359863281,1054.3922729492188
26,788.7027391357421,1053.1389294433593
27,647.878173828125,999.1257934570312
28,619.9267883300781,1018.1727600097656
29,593.2669067382812,1039.3597412109375
30,542.8935063327636,1036.5024911157227
31,493.02383993130127,1034.0738135214601
32,640.9506225585938,1054.4384765625
33,627.6181217807606,1055.67915985195
34,614.4189460107058,1057.3074363085057
35,1017.0719604492188,750.719970703125
36,1082.4010620117188,714.3207397460938
37,1142.6117553710938,683.3425903320312
38,1197.0411987304688,656.8472900390625
39,1246.3909301757812,635.47998046875
40,1295.8655395507812,614.1504821777344
41,1351.0666682128906,587.509723449707
42,1380.719970703125,588.7716979980469
43,1564.259521484375,437.2740936279297
44,1582.361083984375,434.397216796875
45,1603.9143676757812,440.16319274902344
46,1526.5377197265625,569.7886047363281
47,1556.3262329101562,570.0211791992188
48,1585.0772705078125,573.0113525390625
49,1589.199184814453,600.2873298034668
50,1639.3414306640625,582.3980102539062
51,1662.4108276367188,588.0338134765625
52,1673.1769876762696,612.3115528822632
53,1702.9783935546875,567.3811645507812
54,1717.5359497070312,543.8359375
55,1734.4673461914062,522.3722686767578
56,1761.098742456212,502.5380941713407
57,1759.2437744140625,478.6395721435547
58,1773.2344360351562,462.9330291748047
59,1784.0396118164062,448.160888671875
60,1800.9967651367188,437.943115234375
61,1813.7254028320312,426.37681579589844
62,1824.1454815864436,411.6968826775609
63,1834.4613595533117,397.5637488904067
64,1820.9171142578125,356.86021423339844
65,1856.4459838867188,403.82765197753906
66,1868.8161509305146,398.22977453976785
67,1881.0626163038726,393.0878758763743
68,1893.1866170234969,388.3973961996147
69,1905.1893777359248,384.15382131962275
70,1917.0721108412286,380.35268218843066
71,1733.1395263671875,381.4310302734375
72,1706.9516168804357,378.9715495760777
73,1692.79541015625,380.66075134277344
74,1671.00048828125,381.1295928955078
75,1649.9229125976562,384.04835510253906
76,1629.7879638671875,386.7272644042969
77,1607.3783569335938,390.43666076660156
78,1586.4749145507812,394.2372741699219
79,1564.051025390625,405.3803253173828
80,1544.2684936523438,414.7736358642578
81,1522.3462524414062,422.7411346435547
82,1498.78564453125,433.705322265625
83,1477.9088745117188,445.56201171875
84,1455.4378662109375,459.9756622314453
85,1433.1520385742188,474.0685119628906
86,1411.1110229492188,492.14166259765625
87,1389.794189453125,508.75364685058594
88,1368.56298828125,529.1197509765625
89,1344.1461181640625,550.3634948730469
90,1322.49462890625,572.680419921875
91,1299.6032104492188,596.8741760253906
92,1276.250244140625,619.1665344238281
93,1254.3748168945312,650.5421752929688
94,1231.8374633789062,678.4118041992188
95,1209.9190673828125,708.1900939941406
96,1185.7822875976562,740.3130493164062
97,1164.3294067382812,774.6918029785156
98,1140.0768432617188,809.7276916503906
99,1125.1261596679688,824.1806030273438
100,1098.4896240234375,848.5552062988281
101,1089.7135009765625,834.3027038574219
102,1082.3475952148438,824.6492309570312
