frame,u,v
0,965.5376586914062,892.4700622558594
1,965.5376586914062,892.8700622558594
2,965.5376586914062,893.6660622558594
3,965.5376586914062,894.8541022558594
4,965.5376586914062,896.4302618558594
5,965.5376586914062,898.3906598598594
6,965.5376586914062,900.7314538838194
7,965.5376586914062,903.4488399675398
8,965.5376586914062,906.539052190423
9,826.4278564453125,785.9463500976562
10,839.4765014648438,773.8273315429688
11,852.299560546875,755.023681640625
12,861.739013671875,730.1665649414062
13,865.5560302734375,697.8641052246094
14,865.3716430664062,697.7448120117188
15,868.5001220703125,667.8819580078125
16,865.2586669921875,639.2644653320312
17,862.8088989257812,610.5084228515625
18,859.7904052734375,586.2271728515625
19,857.3184814453125,562.6016845703125
20,857.29248046875,562.5592956542969
21,856.4644775390625,540.9110717773438
22,853.9151611328125,521.242919921875
23,852.5511474609375,504.4669189453125
24,849.706787109375,490.1009216308594
25,847.1106262207031,478.5731506347656
26,847.0843505859375,478.5684814453125
27,845.75537109375,468.1871795654297
28,843.8409423828125,461.36004638671875
29,840.3739013671875,455.12818908691406
30,838.5723266601562,451.70928955078125
31,835.5426635742188,450.6664733886719
32,835.5340576171875,450.66546630859375
33,834.2341918945312,450.5906982421875
34,833.4110107421875,455.3775634765625
35,831.6487426757812,460.9871520996094
36,829.359375,466.4398498535156
37,827.5435180664062,475.0108337402344
38,827.443359375,474.9701385498047
39,826.0987745361329,480.1972677307129
40,824.7676355456543,485.772125619812
41,974.5614624023438,440.7137145996094
42,1003.0390451492651,436.0714790821112
43,1049.5830078125,426.4906311035156
44,1050.0596313476562,426.62335205078125
45,774.869140625,725.79052734375
46,965.2725219726562,891.5604858398438
47,965.3106079101562,891.5862426757812
48,965.3274536132812,891.5885009765625
49,965.3200378417969,891.5847473144531
50,965.3187866210938,891.5974731445312
51,965.2977905273438,891.6551513671875
52,965.30322265625,891.5403442382812
53,1194.5311889648438,357.67578125
54,1239.9135285644531,252.36106274414064
55,1284.8420447680664,148.49949142333986
56,1329.3212758096436,46.07653581574711
58,1227.3084716796875,252.12464904785156
59,1233.0808715820312,233.57210540771484
60,1231.5380859375,221.96607971191406
61,1257.5652272334405,151.464294120152
62,1283.3320971164217,82.06752638430757
63,1308.841298300573,13.764726325821584
69,1068.4376831054688,303.09974670410156
70,1046.8638330312551,289.90902695876235
71,1025.5057214577837,277.25021441087654
72,988.0966186523438,366.19065856933594
73,962.0756225585938,394.5156555175781
74,962.2256469726562,394.3889465332031
75,775.2936401367188,678.3555908203125
76,678.1517322265172,815.4627893842803
77,876.0112609863281,486.5787048339844
78,740.4318237304688,684.5022888183594
79,710.6282921021574,720.7807662920004
80,681.1227957901292,757.096458990905
81,788.9177856445312,601.4523010253906
